X,Y,Name,description,gx_media_links
81.628547,7.452007,"Ruwansiri - COMMUNICATION - 366, Maligathana Uyana","7.5694, 81.6844<br>Ruwansiri - COMMUNICATION - 366, Maligathana Uyana",
81.655111,7.498643,"GA Wimal Bandula - N/A - 36/157/1, Nugelanda","Nugelanda 7.4986 , 81.655",
81.638288,7.371873,Sampath Communication,"<img src=""https://lh3.googleusercontent.com/umsh/AFiHsUG343uVBHaQSpVqV1UmxV0O2K9NHjqRJci6rrkMLlMPntnwuZNbJnGytkppyGEOrIoImCumgx6plpDG86ox2mpSgaQL66Iiw5rXu9rwYuYDEjsR2to"" height=""200"" width=""auto"" /><br><br>Sampath Communication warangoda , Ampara 772271922 Ampara <br>7.3719, 81.6383",https://lh3.googleusercontent.com/umsh/AFiHsUG343uVBHaQSpVqV1UmxV0O2K9NHjqRJci6rrkMLlMPntnwuZNbJnGytkppyGEOrIoImCumgx6plpDG86ox2mpSgaQL66Iiw5rXu9rwYuYDEjsR2to
81.672999,7.227649,"S.M.B.Kaviran - Binara Commiunication - Binara Com,Clock tower,Hingurana.","<img src=""https://lh3.googleusercontent.com/umsh/AFiHsUH4wc63ea4bmb4na0QBpZFzuFL1eWQzMrqiM7h0SKxxP50zmB_egvN9SFdeNJhIIOPiP6S7D0sC4QwLmnB6Mj-AZc82mFoyyWQe8IWzb_ny"" height=""200"" width=""auto"" /><br><br>7.2356, 81.6778 <br>S.M.B.Kaviran - Binara Commiunication - Binara Com,Clock tower,Hingurana.",https://lh3.googleusercontent.com/umsh/AFiHsUH4wc63ea4bmb4na0QBpZFzuFL1eWQzMrqiM7h0SKxxP50zmB_egvN9SFdeNJhIIOPiP6S7D0sC4QwLmnB6Mj-AZc82mFoyyWQe8IWzb_ny
81.636422,7.437177,"EDU Gamage - ISIRA BOOKSHOP - G12/1, Gonagolla, Ampara","EDU Gamage - ISIRA BOOKSHOP - G12/1, Gonagolla, Ampara<br>7.4372, 81.6364",
81.395688,7.539562,"RMNK Rajapaksha - RAJAPAKSHA TRADERS - Bowapala, ","RMNK Rajapaksha - RAJAPAKSHA TRADERS - Bowapala, <br>7.5442, 81.4039",
81.811066,7.42922,Zahi Mobile,"7.428166666666667, 81.81163333333333",
81.782999,7.515704,Idea Net Com,"7.515666666666666, 81.78296666666666",
81.759417,7.481708,KS Ananda,"7.48165, 81.7594",
81.820786,7.426432,Suga Video Center,"7.4264, 81.82075",
81.812224,7.445816,Venthan Multy Shop,"7.445766666666667, 81.8122",
81.807096,7.488005,Vikna Farm,"7.48805, 81.80708333333334",
