District,City,Address,outlet_name,store_location
Ampara,Ampara,"Senevirathne Hotel, Ampara Road, Mahaoya",Senevirathne Hotel,POINT (79.87558799999999 7.283174)
Ampara,Ampara,"WIKRAMA COMMUNICATION, GONAGOLLA,GALAPITAGALA",WIKRAMA COMMUNICATION,POINT (80.99021499999999 7.333009)
Ampara,Ampara,"Global Communication, Batticaloa Road, Kalmunai, Main Street",Global Communication,POINT (79.8570663 6.8961749)
Ampara,Ampara,"House Of Power, P M C Road, Sainthamaruthu",House Of Power,POINT (81.8342923 7.394248500000001)
Ampara,Ampara,"YASASA CELLULER, KEKIRIHENA, MAHAOYA",YASASA CELLULER,POINT (81.3263838 7.5017075)
Ampara,Addalachenai,"Sasa Multi Com, Main Street, Addalaichenai",Sasa Multi Com,POINT (81.8542195 7.2558857)
Ampara,Dehiattakandiya,"Isodha Cellular, No.25 New Town Dipot Road, Dehiattakandiya",Isodha Cellular,POINT (81.0472262 7.6703416)
Ampara,Hingurana,"Nanayakkara Book Shop, No.6 Main Street, Hingurana",Nanayakkara Book Shop,POINT (81.672674 7.2283542)
Ampara,Kalmunai,"SIVA TRADERS, AMMAN KOVIL ROAD, KALMUNAI, KALMUNAI",SIVA TRADERS,POINT (81.82838319999999 7.412533)
Ampara,Kalmunai,"Esential, Main Street, Kalmunai, Bus stant",Esential,POINT (81.82358549999999 7.4168639)
Ampara,Kalmunai,"House Of Power, P M C Road, Sainthamaruthu, Kalmunai",House Of Power,POINT (81.8342923 7.394248500000001)
Ampara,Marthamunai,"Ajinas Phone Shop, Main Street, Maruthamunai",Ajinas Phone Shop,POINT (81.81322179999999 7.4368379)
Ampara,Marthamunai,"JISNA SATELLITE SYSTEM, MAIN STREET,MARTHAMUNAI",JISNA SATELLITE SYSTEM,POINT (79.8533577 6.921549400000001)
Ampara,Ninthavur,"Mega Communication, Main Street, Nintavur, 338,Hijra Road",Mega Communication,POINT (79.8570493 6.9366021)
Ampara,Pothuvil,"Business Baith, Nasjidhul Falah Road, Pottuvil",Business Baith,POINT (81.8314506 6.8693312)
Ampara,Pothuvil,"BANU STORES, PUTTLAM RD, LAHUGALA, Main Street,Pottuvil",BANU STORES,POINT (81.8298502 6.874721699999999)
Ampara,Pothuvil,"Bark Home System, Main Street, Arungambi, Pothuwil",Bark Home System,POINT (79.85176249999999 6.937959)
Ampara,Sammanthurai,"NIYAS STORES, 471/B,OLD MARKET ROAD,SAINTHAMARTHU-03",NIYAS STORES,POINT (81.8307118 7.407258599999999)
Ampara,Sammanthurai,"Top World, Osman Road, Sainthamaruthu 6, 256 PM Lean",Top World,POINT (81.83492769999999 7.3952132)
Ampara,Sammanthurai,"NIYAS BOOKING CENTER, 144,AMPARA ROAD,SAMMANTHURAI, AMPARA",NIYAS BOOKING CENTER,POINT (81.80437550000001 7.3643753)
Ampara,Sammanthurai,"Hijra Communication, Hijra Junction, Sammanthurai, 118 Bloak-J-East",Hijra Communication,POINT (81.8036292 7.362093099999999)
Ampara,Sammanthurai,"Star Communication, No.20 ,Ampara Road, Sammanthurai",Star Communication,POINT (81.80388339999999 7.363205)
Ampara,Sammanthurai,"Nusky Mobile, No.162 Police Road, Sammanthurai",Nusky Mobile,POINT (81.82534969999999 7.4150105)
Ampara,Sammanthurai,"Millenium Mark Communication, Ampara Road, Sammanthurai",Millenium Mark Communication,POINT (81.8057147 7.3699233)
Anuradhapura,Anuradhapura,"Helana Communication, Bank Side, Main Street",Helana Communication,POINT (80.4111635 8.335324099999999)
Anuradhapura,Anuradhapura,"Siri sanda Stores, 205,Bandaranayaka Mw, Anuradhapura",Siri sanda Stores,POINT (80.39195479999999 8.371489500000001)
Anuradhapura,Anuradhapura,"Phone 4 U, Main Street Bank Side, Anuradhapura",Phone 4 U,POINT (80.41138719999999 8.336106299999999)
Anuradhapura,Anuradhapura,"Univesal cellular ( Pvt ) ltd, Maithreepala senanayaka M.W  Anuradhapura, Anuradhapura",Univesal cellular ( Pvt ) ltd,POINT (80.4010438 8.321009799999999)
