code_4,dist_name,dsd_name
5233,Ampara,Addalachchenai
5236,Ampara,Akkaraipattu
5239,Ampara,Alayadiwembu
5215,Ampara,Ampara
5234,Ampara,Irakkamam
5224,Ampara,Kalmune Muslim
5221,Ampara,Kalmune Tamil
5227,Ampara,Karativu
5251,Ampara,Lahugala
5216,Ampara,Navithanveli
5230,Ampara,Ninthavur
5225,Ampara,Sainthamarathu
5218,Ampara,Samanthurai
7127,Anuradhapura,Galenbindunuwewa
7163,Anuradhapura,Galnewa
7124,Anuradhapura,Horowpothana
7160,Anuradhapura,Ipalogama
7121,Anuradhapura,Kahatagasdigiliya
7106,Anuradhapura,Kebithigollewa
7154,Anuradhapura,Kekirawa
7112,Anuradhapura,Mahavilachchiya
7109,Anuradhapura,Medawachchiya
7130,Anuradhapura,Mihinthale
7136,Anuradhapura,Nachchadoowa
7139,Anuradhapura,Nochchiyagama
7115,Anuradhapura,Nuwaragam Palatha Central
7133,Anuradhapura,Nuwaragam Palatha East
7103,Anuradhapura,Padaviya
7166,Anuradhapura,Palagala
7157,Anuradhapura,Palugaswewa
7142,Anuradhapura,Rajanganaya
7118,Anuradhapura,Rambewa
7148,Anuradhapura,Thalawa
7145,Anuradhapura,Thambuttegama
7151,Anuradhapura,Thirappane
4418,Anuradhapura,Welioya
8121,Badulla,Badulla
8133,Badulla,Bandarawela
8136,Badulla,Ella
8142,Badulla,Haldummulla
8124,Badulla,Hali-Ela
8139,Badulla,Haputale
8112,Badulla,Kandaketiya
8119,Badulla,Lunugala
8103,Badulla,Mahiyanganaya
8109,Badulla,Meegahakivula
8118,Badulla,Passara
8106,Badulla,Rideemaliyadda
8115,Badulla,Soranathota
8127,Badulla,Uva-Paranagama
8130,Badulla,Welimada
5127,Batticaloa,Ariyampathi
5115,Batticaloa,Eravur Town
5124,Batticaloa,Kattankudy
5109,Batticaloa,Koralai Pattu (Valachchenai)
5106,Batticaloa,Koralai Pattu West (Oddamavadi)
5118,Batticaloa,Manmunai North
1103,Colombo,Colombo
1130,Colombo,Dehiwala-Mount Lavinia
1115,Colombo,Hanwella
1112,Colombo,Homagama
1109,Colombo,Kaduwela
1136,Colombo,Kesbewa
1106,Colombo,Kolonnawa
1121,Colombo,Maharagama
1133,Colombo,Moratuwa
1118,Colombo,Padukka
1131,Colombo,Ratmalana
1124,Colombo,Sri Jayawardanapura Kotte
1127,Colombo,Thimbirigasyaya
3145,Galle,Akmeemana
3133,Galle,Ambalangoda
3127,Galle,Baddegama
3106,Galle,Balapitiya
3103,Galle,Benthota
3142,Galle,Bope-Poddala
3112,Galle,Elpitiya
3139,Galle,Galle Four Gravets
3154,Galle,Habaraduwa
3136,Galle,Hikkaduwa
3109,Galle,Karandeniya
3124,Galle,Nagoda
3121,Galle,Neluwa
3115,Galle,Niyagama
3118,Galle,Thawalama
3130,Galle,Welivitiya-Divithura
3148,Galle,Yakkalamulla
1227,Gampaha,Attanagalla
1239,Gampaha,Biyagama
1209,Gampaha,Divulapitiya
1230,Gampaha,Dompe
1224,Gampaha,Gampaha
1221,Gampaha,Ja-Ela
1206,Gampaha,Katana
1236,Gampaha,Kelaniya
1233,Gampaha,Mahara
1215,Gampaha,Minuwangoda
1212,Gampaha,Mirigama
1203,Gampaha,Negombo
1218,Gampaha,Wattala
3318,Hambantota,Angunakolapelessa
3330,Hambantota,Beliatta
3312,Hambantota,Hambantota
3324,Hambantota,Katuwana
3306,Hambantota,Lunugamvehera
3327,Hambantota,Okewela
3303,Hambantota,Sooriyawewa
3333,Hambantota,Tangalle
3309,Hambantota,Thissamaharama
3325,Hambantota,Walasmulla
3321,Hambantota,Weeraketiya
4103,Jaffna,Island North (Kayts)
4136,Jaffna,Jaffna
4133,Jaffna,Nallur
4130,Jaffna,Thenmaradchi (Chavakachcheri)
4124,Jaffna,Vadamaradchi East (Maruthnkerny)
4127,Jaffna,Vadamaradchi North (Point Pedro)
4121,Jaffna,Vadamaradchi South-West (Karaveddy)
4118,Jaffna,Valikamam East (Kopay)
4112,Jaffna,Valikamam North (Tellipallai)
4115,Jaffna,Valikamam South (Uduvil)
4109,Jaffna,Valikamam South-West (Sandilipay)
1333,Kalutara,Agalawatta
1306,Kalutara,Bandaragama
1324,Kalutara,Beruwala
1312,Kalutara,Bulathsinhala
1327,Kalutara,Dodangoda
1309,Kalutara,Horana
1321,Kalutara,Kalutara
1315,Kalutara,Madurawela
1330,Kalutara,Mathugama
1318,Kalutara,Millaniya
1336,Kalutara,Palindanuwara
1303,Kalutara,Panadura
1339,Kalutara,Walallavita
2109,Kandy,Akurana
2148,Kandy,Delthota
2142,Kandy,Doluwa
2154,Kandy,Ganga Ihala Korale
2130,Kandy,Gangawata Korale
2133,Kandy,Harispattuwa
2134,Kandy,Hatharaliyadda
2127,Kandy,Kundasale
2124,Kandy,Medadumbara
2121,Kandy,Minipe
2115,Kandy,Panvila
2157,Kandy,Pasbage Korale
2112,Kandy,Pathadumbara
2145,Kandy,Pathahewaheta
2106,Kandy,Poojapitiya
2103,Kandy,Thumpane
2118,Kandy,Udadumbara
2151,Kandy,Udapalatha
2139,Kandy,Udunuwara
2136,Kandy,Yatinuwara
9209,Kegalle,Aranayaka
9224,Kegalle,Bulathkohupitiya
9230,Kegalle,Dehiovita
9233,Kegalle,Deraniyagala
9215,Kegalle,Galigamuwa
9212,Kegalle,Kegalle
9206,Kegalle,Mawanella
9203,Kegalle,Rambukkana
9221,Kegalle,Ruwanwella
9218,Kegalle,Warakapola
9227,Kegalle,Yatiyanthota
6184,Kurunegala,Alawwa
6112,Kurunegala,Ambanpola
6142,Kurunegala,Bingiriya
6106,Kurunegala,Galgamuwa
6130,Kurunegala,Ibbagamuwa
6139,Kurunegala,Kobeigane
6115,Kurunegala,Kotavehera
6169,Kurunegala,Kuliyapitiya East
6172,Kurunegala,Kuliyapitiya West
6154,Kurunegala,Kurunegala
6157,Kurunegala,Mallawapitiya
6160,Kurunegala,Mawathagama
6181,Kurunegala,Narammala
6121,Kurunegala,Nikaweratiya
6145,Kurunegala,Panduwasnuwara
6187,Kurunegala,Polgahawela
6163,Kurunegala,Rideegama
6175,Kurunegala,Udubaddawa
6136,Kurunegala,Wariyapola
2221,Matale,Ambanganga Korale
2206,Matale,Dambulla
2224,Matale,Laggala-Pallegama
2218,Matale,Matale
2209,Matale,Naula
2212,Matale,Pallepola
2230,Matale,Rattota
2233,Matale,Ukuwela
2227,Matale,Wilgamuwa
2215,Matale,Yatawatta
3218,Matara,Akuressa
3215,Matara,Athuraliya
3245,Matara,Devinuwara
3248,Matara,Dickwella
3230,Matara,Hakmana
3227,Matara,Kamburupitiya
3233,Matara,Kirinda Puhulwella
3206,Matara,Kotapola
3224,Matara,Malimbada
3242,Matara,Matara Four Gravets
3212,Matara,Mulatiyana
3209,Matara,Pasgoda
3203,Matara,Pitabeddara
3236,Matara,Thihagoda
3239,Matara,Weligama
3221,Matara,Welipitiya
8203,Moneragala,Bibile
8224,Moneragala,Buttala
8227,Moneragala,Katharagama
8206,Moneragala,Madulla
8209,Moneragala,Medagama
8215,Moneragala,Moneragala
8233,Moneragala,Sevanagala
8212,Moneragala,Siyambalanduwa
8230,Moneragala,Thanamalvila
8221,Moneragala,Wellawaya
2315,Nuwara Eliya,Ambagamuwa
2306,Nuwara Eliya,Hanguranketha
2303,Nuwara Eliya,Kothmale
2312,Nuwara Eliya,Nuwara Eliya
2309,Nuwara Eliya,Walapane
7212,Polonnaruwa,Dimbulagala
7218,Polonnaruwa,Elahera
7209,Polonnaruwa,Lankapura
7206,Polonnaruwa,Medirigiriya
7215,Polonnaruwa,Thamankaduwa
7210,Polonnaruwa,Welikanda
6224,Puttalam,Anamaduwa
6230,Puttalam,Arachchikattuwa
6233,Puttalam,Chilaw
6248,Puttalam,Dankotuwa
6203,Puttalam,Kalpitiya
6209,Puttalam,Karuwalagaswewa
6236,Puttalam,Madampe
6239,Puttalam,Mahawewa
6218,Puttalam,Mundalama
6242,Puttalam,Nattandiya
6212,Puttalam,Nawagattegama
6227,Puttalam,Pallama
6215,Puttalam,Puttalam
6206,Puttalam,Vanathavilluwa
6245,Puttalam,Wennappuwa
9130,Ratnapura,Ayagama
9118,Ratnapura,Balangoda
9103,Ratnapura,Eheliyagoda
9127,Ratnapura,Elapatha
9148,Ratnapura,Embilipitiya
9142,Ratnapura,Godakawela
9115,Ratnapura,Imbulpe
9139,Ratnapura,Kahawatta
9133,Ratnapura,Kalawana
9109,Ratnapura,Kiriella
9151,Ratnapura,Kolonna
9106,Ratnapura,Kuruvita
9136,Ratnapura,Nivithigala
9121,Ratnapura,Opanayaka
9124,Ratnapura,Pelmadulla
9112,Ratnapura,Ratnapura
9145,Ratnapura,Weligepola
5309,Trincomalee,Gomarankadawala
5321,Trincomalee,Kantalai
5312,Trincomalee,Morawewa
5303,Trincomalee,Padavi Sri Pura
5330,Trincomalee,Seruvila
5315,Trincomalee,Trincomalee Town and Gravets
4309,Vavuniya,Vavuniya
4306,Vavuniya,Vavuniya South
4312,Vavuniya,Vengalacheddikulam
