dist_name,dsd_name,bank_name
Ampara,Addalachchenai,Addalachchenai Samurdhi Bank Society
Ampara,Addalachchenai,Oluwil / Palmunei Samurdhi Bank Society
Ampara,Akkaraipattu,Akkaraipaththu East Samurdhi Bank Society
Ampara,Akkaraipattu,Akkaraipaththu West Samurdhi Bank Society
Ampara,Alayadiwembu,Akkaraipaththu 08 Samurdhi Bank Society
Ampara,Alayadiwembu,Pothuwil North Samurdhi bank Society
Ampara,Ampara,Ampara Samurdhi Bank Society
Ampara,Ampara,Namaloya Samurdhi bank Society
Ampara,Irakkamam,Pothuvil South Samurdhi Bank Society
Ampara,Irakkamam,Pothuvil North Samurdhi Bank Society
Ampara,Kalmune Muslim,Thambiliwil Samurdhi Bank Society
Ampara,Kalmune Muslim,Vinayagapuram Samurdhi Bank Socity
Ampara,Kalmune Tamil,Lahugala Samurdhi Bank Society
Ampara,Kalmune Tamil,Panama Samurdhi Bank Society
Ampara,Karativu,Karativu Samurdhi Bank Society
Ampara,Karativu,Kardithottam Samurdhi Bank Society
Ampara,Lahugala,Padagoda Sanasa Bank Society
Ampara,Lahugala,Galkanda Sanasa Bank Society
Ampara,Lahugala,Thottama Sanasa Bank Society
Ampara,Navithanveli,Navithanveli Samurdhi BankSociety
Ampara,Navithanveli,Central Samurdhi Society / Samurdhi Bank Society
Ampara,Ninthavur,Ninthavur North Samurdhi Bank Society
Ampara,Ninthavur,Ninthavur South Samurdhi Bank Society
Ampara,Sainthamarathu,Sainthamarathu Samurdhi Bank Society
Ampara,Samanthurai,Hijra Samurdhi Bank Society
Ampara,Samanthurai,Huda Samurdhi bank Society
Ampara,Samanthurai,Asraj Samurdhi Bank Society
Ampara,Samanthurai,Millenium Samurdhi Bank Society
Anuradhapura,Galenbindunuwewa,21 Janapadaya Samurdhi Bank Society
Anuradhapura,Galenbindunuwewa,Kurulunikawawa Samurdhi Bank Society
Anuradhapura,Galenbindunuwewa,Yakalla Samurdhi Bank Society
Anuradhapura,Galnewa,Nagampaha Samurdhi Bank Society
Anuradhapura,Galnewa,Bulnawa Samurdhi Bank Society
Anuradhapura,Horowpothana,Horowpothana Samurdhi Bank Society	
Anuradhapura,Horowpothana,Kapugollawa Samurdhi Bank Society
Anuradhapura,Horowpothana,Morakawa Samurdhi Bank Society
Anuradhapura,Ipalogama,Ipalaogama Samurdhi Bank Society
Anuradhapura,Ipalogama,Vijithapura Samurdhi Bank Society
Anuradhapura,Ipalogama,Senapuragama Samurdhi Bank Society
Anuradhapura,Kahatagasdigiliya,Kahatagasdigiliya Samurdhi Bank Society
Anuradhapura,Kahatagasdigiliya,Konwawa Samurdhi Bank Society
Anuradhapura,Kahatagasdigiliya,Rampathwila Samurdhi Bank Society
Anuradhapura,Kebithigollewa,Kabithigollawa Samurdhi Bank Society
Anuradhapura,Kekirawa,Olonbawa Samurdhi Bank Society	
Anuradhapura,Kekirawa,Madatugama Samurdhi Bank Society	
Anuradhapura,Kekirawa,Olukarada Samurdhi Bank Society
Anuradhapura,Kekirawa,Ganewalpola Samurdhi Bank Society	
Anuradhapura,Mahavilachchiya,Kudawilachchiya Samurdhi Bank Society
Anuradhapura,Mahavilachchiya,Mahawilachchiya Samurdhi Bank Society
Anuradhapura,Medawachchiya,Poonawa Samurdhi Bank Society
Anuradhapura,Medawachchiya,Madawachchiya Samurdhi Bank Society
Anuradhapura,Medawachchiya,Athakada Samurdhi Bank Society
Anuradhapura,Mihinthale,Mininthale East Samurdhi Bank Society
Anuradhapura,Mihinthale,Mihinthale West Samurdhi Bank Society
Anuradhapura,Nachchadoowa,Hidegama Samurdhi Bank Society
Anuradhapura,Nochchiyagama,Nochchiyagama Samurdhi Bank Society
Anuradhapura,Nochchiyagama,Dobawalagama Samurdhi Bank Society
Anuradhapura,Nochchiyagama,Lindawawa Samurdhi Bank Society
Anuradhapura,Nuwaragam Palatha Central,Wiharakallinchiya Samurdhi Bank Society
Anuradhapura,Nuwaragam Palatha Central,Saliyapura Samurdhi Bank Society
Anuradhapura,Nuwaragam Palatha Central,Alayapaththuwa Samurdhi Bank Society
Anuradhapura,Nuwaragam Palatha East,Anuradhapura Samurdhi Bank Society	
Anuradhapura,Nuwaragam Palatha East,Kawarakkulama Samurdhi Bank Society
Anuradhapura,Padaviya,Padawiya Samurdhi Bank Society
Anuradhapura,Palagala,Galkiriyawa Samurdhi Bank Society
Anuradhapura,Palagala,Adiyagala Samurdhi Bank Society
Anuradhapura,Palagala,Palagala Samurdhi Bank Society
Anuradhapura,Palugaswewa,Palugaswawa Samurdhi Bank Society	
Anuradhapura,Rajanganaya,Rajanganaya Samurdhi Bank Society	
Anuradhapura,Rajanganaya,Siyabalangamuwa Samurdhi Bank Society
Anuradhapura,Rambewa,Kadawatha Samurdhi Bank Society
Anuradhapura,Rambewa,Kallanwiya Samurdhi Bank Society
Anuradhapura,Rambewa,Rabawa Samurdhi Bank Society	
Anuradhapura,Thalawa,Kadigawa Samurdhi Bank Society	
Anuradhapura,Thalawa,Thalawa Samurdhi Bank Society
Anuradhapura,Thalawa,Sandarasgama Samurdhi Bank Society
Anuradhapura,Thambuttegama,Hurigaswawa Samurdhi Bank Society
Anuradhapura,Thambuttegama,Thabuththegama Samurdhi Bank Society
Anuradhapura,Thirappane,Nirawiya / Pairamadu Samurdhi Bank Society
Anuradhapura,Thirappane,Ritigala Samurdhi Bank Society
Anuradhapura,Thirappane,Thirappane Samurdhi Bank Society
Anuradhapura,Welioya,Walioya Samurdhi Bank Society
Badulla,Badulla,Badulla  Samurdhi Bank Society
Badulla,Badulla,Kandagolla Samurdhi Bank Society
