chain,outlet,store_location
arpico,RAGAMA,POINT (79.94978500000001 7.001274)
arpico,MAGGONA,POINT (79.9807531 6.5047953)
arpico,Bandaragama,POINT (79.9879682 6.7136402)
arpico,GELIOYA,POINT (80.59819760000001 7.2139038)
arpico,HALLOLUWA,POINT (80.59776309999999 7.3071334)
arpico,KIRIBATHKUMBURA,POINT (80.5827266 7.2657726)
arpico,Kaduwela,POINT (79.9859136 6.934452)
arpico,JA-ELA,POINT (79.89140329999999 7.0757289)
arpico,ATHURIGIRIYA,POINT (79.988336 6.878519)
arpico,WELIWERIYA,POINT (80.023596 7.0377197)
arpico,MATHUGAMA,POINT (80.1158506 6.5191911)
arpico,POKUNUWITA,POINT (80.0336033 6.72616)
arpico,ARAWWALA,POINT (79.9351984 6.83085)
arpico,KOCHCHIKADE,POINT (79.86057940000001 7.2671348)
arpico,Meegoda,POINT (80.0475301 6.8216009)
arpico,INGIRIYA,POINT (80.17486719999999 6.7438683)
arpico,HANWELLA,POINT (80.08938790000001 6.9057377)
arpico,AMBALANGODA,POINT (80.05428310000001 6.2367382)
arpico,ATHTHIDIYA,POINT (79.8853549 6.8476729)
arpico,KANDANA,POINT (79.8965317 7.0490411)
arpico,NUGEGODA,POINT (79.88959800000001 6.871851)
arpico,KULIYAPITIYA,POINT (80.0408104 7.4692275)
arpico,WENNAPUWA,POINT (79.840959 7.3436662)
arpico,WERAHERA,POINT (79.91202149999999 6.8282374)
arpico,MUTUWAL,POINT (79.87168369999991 6.970197)
arpico,Mulleriyawa,POINT (79.9270901 6.9244991)
arpico,Athurugiriya,POINT (79.988336 6.878519)
arpico,Akkarapaththu,POINT (81.84968550000001 7.2194173)
arpico,Athurugiriya,POINT (79.98361079999999 6.8878446)
arpico,Badulla,POINT (81.0597441 6.9864468)
arpico,Bandarawela,POINT (80.9909588 6.8300137)
arpico,Dambulla.,POINT (80.65063480000001 7.8863801)
arpico,Galle,POINT (80.2262932 6.0369815)
arpico,Galewela,POINT (80.56720730000001 7.7556429)
arpico,Hingurakgoda.,POINT (80.95585939999999 8.0424319)
arpico,Horana,POINT (79.9203444 6.7096405)
arpico,Kaduwela,POINT (79.9735245 6.9365181)
arpico,Kalutara,POINT (79.9589977 6.593871)
arpico,Kandana,POINT (79.8962259 7.0493605)
arpico,Kotahena,POINT (79.8595119 6.9489948)
arpico,Kottawa,POINT (79.9617684 6.8428447)
arpico,Kurunegala.,POINT (80.3294563 7.4748362)
arpico,Matara,POINT (80.5528951 5.9492992)
arpico,Matale,POINT (80.6241775 7.4720944)
arpico,Moratuwa,POINT (79.883008 6.7791497)
arpico,Narahenpita,POINT (79.8796177 6.8908048)
arpico,Nawalapitiya.,POINT (80.5382824 7.0638518)
arpico,Nittambuwa,POINT (80.1002562 7.1504071)
arpico,Nugegoda.,POINT (79.88959800000001 6.871851)
arpico,Nuwara Eliya,POINT (80.7827497 6.9534358)
arpico,Panadura,POINT (79.9284554 6.6679776)
arpico,Pettah,POINT (79.85195880000001 6.9381263)
arpico,Pottuvil,POINT (81.829809 6.8750619)
arpico,Rathnapura,POINT (80.38230660000001 6.7088507)
arpico,Wellawaya.,POINT (81.1032629 6.7274759)
arpico,BATTARAMULLA,POINT (79.91709299999999 6.902386)
arpico,WELLAWATTA,POINT (79.8636139 6.8658914)
arpico,Hyde Park Corner,POINT (79.8608340000001 6.917601)
arpico,Navinna,POINT (79.9177828 6.8526475)
arpico,GAMPAHA,POINT (79.99982900000001 7.091604)
arpico,KANDY,POINT (80.620507 7.280711)
arpico,NEGOMBO,POINT (79.84302599999999 7.2074)
arpico,WATTALA,POINT (79.89251400000001 6.98884)
arpico,KADAWATHA,POINT (79.94978500000001 7.001274)
arpico,KIRIBATHGODA,POINT (79.925252 6.97605)
arpico,DEHIWALA,POINT (79.866696 6.846773)
arpico,BORALESGAMUWA,POINT (79.902609 6.840962)
arpico,KALUTARA,POINT (79.955905 6.602332)
arpico,PILIYANDALA,POINT (79.926154 6.799025)
arpico,MATARA,POINT (80.5428460000001 5.949179)
arpico,PANADURA,POINT (79.907901 6.707393)
arpico,KOTTAWA,POINT (79.97875209999999 6.8389086)
keells,Eldeniya,POINT (79.973085 7.0209227)
keells,Kelaniya,POINT (79.9072967 6.9506815)
keells,Kiribathgoda,POINT (79.92918399999999 6.977087)
keells,Kiribathgoda 2,POINT (79.9308697 6.982333499999999)
