sei_decile,samurdhi_count,samurdhi_dist_mean,samurdhi_dist_max,supermarket_count,supermarket_dist_mean,supermarket_dist_max,mobile_money_count,mobile_money_dist_mean,mobile_money_dist_max,potential_count,potential_dist_mean,potential_dist_max
1,462.0,8326.205520443413,67547.5047102742,262.0,9711.958117394803,42668.6266971012,693.0,5054.537595021761,27211.8786267278,959.0,4234.127721842568,25737.5573134811
2,566.0,4966.621606762947,65698.4119552411,334.0,6761.3569217137765,39410.8572126909,862.0,4072.2733011821024,18711.8002413052,1195.0,3387.6182491043787,16968.1798896706
3,656.0,4336.6879805462295,66557.2541693042,372.0,5724.440804315296,38706.8542751856,944.0,3504.778912656627,23427.371579966,1328.0,2715.977814789398,14572.2905153727
4,692.0,3578.431341071396,65075.642799001,415.0,4989.534641365439,31763.1914253141,1040.0,2841.4136263473397,18676.6070803393,1458.0,2279.1870281363836,13630.1997532883
5,696.0,3307.6506079390692,63819.1765681081,444.0,4115.680413154209,33925.6425827003,1031.0,2445.7003285624482,16661.6985782504,1491.0,1907.2604555426049,16661.6985782504
6,644.0,2723.997143854485,67733.9252282032,475.0,3177.5462434419246,29375.301678889,1030.0,1953.1155034762457,12341.7039389081,1502.0,1575.1852781234534,8874.71863932398
7,606.0,2307.120306596834,54558.0980240421,523.0,2257.361834668773,16698.1171122444,1037.0,1545.1562779681014,17609.2426679394,1547.0,1257.0249054909884,17609.2426679394
8,448.0,2048.1659733805427,55568.4075700344,530.0,1599.8441170092508,14156.0523092338,937.0,1146.357991075141,9590.89169679641,1448.0,932.4532207980005,5522.33711994275
9,305.0,1700.8136722168265,57003.9973268231,530.0,975.9131894523122,10942.3361080433,940.0,814.1645738251862,5604.9235738539,1532.0,669.6273519692901,4114.39659131562
10,131.0,1661.0558222202076,33037.4531484068,471.0,556.0286109530991,20384.0244267748,850.0,476.1906269653444,25408.417964993,1523.0,397.7619260598103,20764.1984944961
All,932.0,3496.1049194575894,67733.9252282032,966.0,3987.677343246939,42668.6266971012,2624.0,2385.7593346015888,27211.8786267278,4745.0,1935.9983637524156,25737.5573134811
